text,label,clean_text
i didnt feel humiliated,0,not feel humiliated
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0,go feel hopeless damned hopeful around someone care awake
im grabbing a minute to post i feel greedy wrong,3,grab minute post feel greedy wrong
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,2,ever feel nostalgic fireplace know still property
i am feeling grouchy,3,feel grouchy
ive been feeling a little burdened lately wasnt sure why that was,0,feel little burden lately not sure
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,5,take milligram time recommend amount fall asleep lot fast also feel like funny
i feel as confused about life as a teenager or as jaded as a year old man,4,feel confused life teenager jade year old man
i have been with petronas for years i feel that petronas has performed well and made a huge profit,1,petrona year feel petronas perform well make huge profit
i feel romantic too,2,feel romantic
i feel like i have to make the suffering i m seeing mean something,0,feel like make suffering see mean something
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1,feel running divine experience expect type spiritual encounter
i think it s the easiest time of year to feel dissatisfied,3,think easy time year feel dissatisfied
i feel low energy i m just thirsty,0,feel low energy thirsty
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,1,immense sympathy general point possible proto writer try find time write corner life sign agent let alone publishing contract feel little precious
i do not feel reassured anxiety is on each side,1,feel reassured anxiety side
i didnt really feel that embarrassed,0,not really feel embarrassed
i feel pretty pathetic most of the time,0,feel pretty pathetic time
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,0,start feel sentimental doll child begin collection vintage barbie doll sixty
i now feel compromised and skeptical of the value of every unit of work i put in,4,feel compromised skeptical value every unit work put
i feel irritated and rejected without anyone doing anything or saying anything,3,feel irritated reject without anyone anything say anything
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,4,feel completely overwhelmed two strategy help feel grounded pour heart journal form letter god end list five thing grateful
i have the feeling she was amused and delighted,1,feeling amuse delight
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,1,able help chai lifeline support encouragement great feeling glad able help
i already feel like i fucked up though because i dont usually eat at all in the morning,3,already feel like fuck though not usually eat morning
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0,still love wish good long tolerate effect bm life fact turn bitter angry person always particularly kind people around feel stress
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,0,feel inhibited someone else kitchen like paint someone else picture
i become overwhelmed and feel defeated,0,become overwhelmed feel defeat
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,3,feel kinda appal feel like need explain wide lenghth body measure etc pp
i feel more superior dead chicken or grieving child,1,feel superior dead chicken grieve child
i get giddy over feeling elegant in a perfectly fitted pencil skirt,1,get giddy feel elegant perfectly fit pencil skirt
i remember feeling acutely distressed for a few days,4,remember feel acutely distressed day
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,5,see hear read past couple day leave feel impressed company
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,3,climb hill feeling frustrated pretty much pace entirely wrong course factor never ever hamper make dent day
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,1,imagine real life scenario would emotionally connect enough someone feel totally accept safe morally acceptable close prolonged physical contact sex expect subsequently
i am not sure what would make me feel content if anything,1,sure would make feel content anything
i have been feeling the need to be creative,1,feel need creative
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,1,however want know something someone cause feel less splendid self step away
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,3,feel bit rude writing elderly gentleman ask gift feel bit greedy christmas mild greed
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,1,need need someone need protect feel safe small find season word
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,1,plan share everyday life story travel adventure inspiration handmade creation hope also feel inspire
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,1,already christmas tree get two feel festive sure spur get start book
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,1,wear little concealer day feel brave not want pale perfect
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,1,feel strongly passionate jerk decide poke make fun we
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,0,feel discouraged already rob peter pay paul get cow year can not afford get cow way
i was feeling listless from the need of new things something different,0,feel listless need new thing something different
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,1,lose special mind worry still sane want feel feel read book know many time say sam special guarantee many time use paragraph tell special
i can t let go of that sad feeling that i want to be accepted here in this first home of mine,2,let go sad feeling want accept first home mine
on a boat trip to denmark,1,boat trip denmark
i stopped feeling cold and began feeling hot,3,stop feel cold begin feel hot
i need to feel the dough to make sure its just perfect,1,need feel dough make sure perfect
i found myself feeling a little discouraged that morning,0,find feel little discourage morning
i feel selfish and spoiled,3,feel selfish spoil
